delta_lati,sst,atms,u10,v10
0.02,-221.224,-70.25,5.25,5
0.02,-210.216,-58.233,5.25,5
0,-239.938,-78.928,5.25,5
0.01,-200.309,-84.936,5.25,5
0,-230.03,-129.664,5.5,5.25
0.02,-300.48,-183.738,5.5,5.25
0,-348.915,-214.447,5.5,5.25
0.02,-198.107,-98.288,5.5,5.25
0.02,-221.621,-113.311,5.5,5.25
0.03,-230.665,-181.581,5.5,5.25
0.01,-260.263,-99.799,5.5,5.25
0.02,-168.181,-40.774,5.5,5.25
0,-182.98,-55.708,5.5,5.25
0.08,-182.98,-55.708,5.5,5.25
0.03,-223.74,-52.174,5.5,5.25
0.05,-262.909,-50.693,5.5,5.25
0.08,-158.757,-120.313,5.75,5.5
0.03,-210.851,-146.543,5.75,5.5
0.02,-233.265,-150.834,5.75,5.5
0.04,-236.066,-131.096,5.75,5.5
0.01,-217.388,-165.424,5.75,5.5
0.01,-213.652,-157.7,5.75,5.5
0.01,-185.634,-154.267,5.75,5.5
0.05,-130.532,-105.351,5.75,5.5
0.02,-172.559,-115.649,6,5.75
0,-163.179,-130.319,6,5.75
0.02,-175.973,-121.885,6,5.75
0.05,-209.025,-138.151,6,5.75
0.01,-158.914,-71.281,6,5.75
0.04,-119.465,-67.666,6,5.75
0.02,-123.73,-42.966,6,5.75
0.01,-57.625,-3.206,6,5.75
0,-69.947,-11.69,6,5.75
-0.01,-86.329,-18.065,6,5.75
0.01,-128.575,-65.876,6,5.75
-0.02,-191.514,-89.781,6,5.75
0,-132.024,-41.173,6,5.75
-0.01,-101.148,-32.025,6,5.75
-0.01,-150.179,-64.168,6,5.75
-0.01,-164.39,-68.653,6,5.75
0.01,-80.541,-12.59,6,5.75
0.02,-90.489,-11.842,6,5.75
0.01,-61.355,12.078,6,5.75
0.05,-55.01,14.122,6,5.75
0.1,-81.688,-27.668,6,5.75
0,-91.569,-35,6.25,6
0.02,-94.533,-41.599,6.25,6
0.03,-105.401,-56.995,6.25,6
0.06,-113.306,-40.865,6.25,6
0.01,-138.995,-68.726,6.25,6
0.02,-162.76,-63.665,6.25,6
0.01,-186.696,-71.03,6.25,6
-0.02,-215.12,-56.969,6.25,6
-0.01,-246.537,-67.012,6.25,6
-0.01,-196.42,-76.386,6.25,6
-0.03,-203.152,-108.525,6.25,6
0,-290.669,-141.333,6.25,6
-0.02,-282.416,-131.975,6.25,6
0.01,-344.397,-151.785,6.25,6
-0.01,-339.763,-180.652,6.25,6
0,-274.306,-105.372,6.25,6
0.01,-299.214,-142.729,6.25,6
0,-419.702,-150.653,6.25,6
-0.02,-366.988,-156.879,6.25,6
0.01,-413.909,-117.259,6.25,6
0.05,-358.491,-112.006,6.25,6
0.01,-258.264,-212.688,6.25,6
0.02,-295.261,-182.634,6.25,6
0,-403.559,-193.153,6.25,6
0.01,-403.559,-193.153,6.25,6
0.01,-571.725,-161.596,6.25,6
0.02,-332.464,-95.247,6.5,6.25
0.01,-264.347,-64.425,6.5,6.25
-0.02,-280.622,-43.6,6.5,6.25
-0.03,-293.281,-188.544,6.5,6.25
0.01,-150.173,-32.482,6.25,6
-0.01,-111.01,-63.619,6.25,6
-0.01,-154.39,-49.348,6.25,6
-0.01,-182.106,-39.618,6.25,6
0,-302.004,-70.754,6.25,6
-0.03,-268.264,-40.915,6.25,6
0.01,-195.963,-14.968,6.25,6
-0.01,-154.68,-8.142,6.25,6
0.01,-140.406,-13.437,6.25,6
0.02,-157.924,-12.26,6.25,6
0,-228.642,-72.263,6.25,6
0.02,-187.119,-90.499,6.25,6
0,-165.06,-24.614,6.25,6
0.01,-191.012,-38.732,6.25,6
0.01,-82.664,-24.025,6.25,6
0.01,-116.895,-34.972,6.5,6.25
-0.02,-129.295,-50.623,6.5,6.25
-0.02,-134.462,-72.863,6.25,6
-0.02,-204.733,-100.045,6.25,6
-0.03,-314.274,-62.155,6.25,6
-0.01,-240.902,-126.404,6.25,6
-0.07,-156.163,-76.981,6.25,6
-0.02,-233.669,-155.234,6.25,6
-0.03,-185.444,-161.869,6.25,6
0,-110.546,-91.424,6.25,6
-0.07,-120.126,-80.301,6.25,6
-0.01,-182.832,-141.477,6,5.75
-0.01,-168.897,-55.274,6,5.75
-0.02,-201.992,-43.225,6,5.75
0,-183.703,-31.175,6,5.75
-0.01,-171.861,-26.273,6,5.75
0.01,-219.403,-63.71,6,5.75
0.01,-258.872,-64.67,6,5.75
0.1,-294.752,-66.59,6,5.75
0.03,-155.715,10.205,6.25,6
0.05,-136.672,4.08,6.25,6
0.04,-126.466,-22.897,6.25,6
0.07,-134.317,-27.395,6.25,6
0.02,-155.514,-125.414,6.25,6
0,-151.589,-105.63,6.5,6.25
0,-191.628,-99.335,6.5,6.25
-0.01,-201.834,-102.933,6.5,6.25
-0.01,-111.55,-66.062,6.25,6
-0.01,-83.867,-58.738,6.25,6
-0.02,-91.419,-65.48,6.25,6
-0.05,-107.151,-52.671,6.25,6
-0.01,-82.609,-24.355,6.25,6
-0.01,-87.643,-10.197,6.25,6
-0.04,-84.497,7.331,6.25,6
-0.01,-49.886,11.376,6.25,6
-0.03,-32.985,1.97,6.25,6
-0.01,1.844,1.97,6.25,6
-0.02,-4.213,-8.255,6.25,6
0,-7.747,-2.12,6.25,6
-0.01,-5.728,-2.802,6.25,6
-0.02,39.068,19.894,6.25,6
0.01,41.527,9.496,6,5.75
-0.02,15.706,10.363,6.25,6
-0.01,-23.639,-55.494,6,5.75
0.01,-18.106,-48.562,6,5.75
-0.02,-22.41,-23.432,6,5.75
0.05,-46.386,-41.629,6,5.75
0.01,-22.194,-28.042,6.25,6
0.04,-41.706,-74.914,6.25,6
0,-93.93,-40.269,6.25,6
0.02,-118.034,-41.798,6.25,6
0,-89.339,-8.172,6.25,6
0.03,-83.6,-5.115,6.25,6
0.01,-43.428,7.622,6.25,6
0.01,-60.836,2.876,6.25,6
0,-35.891,0.147,6.25,6
0.01,-21.732,-1.218,6.25,6
-0.03,-31.845,-4.857,6.25,6
0,-62.185,-7.587,6.25,6
-0.03,-91.85,10.155,6.25,6
-0.01,-157.923,-30.788,6.25,6
-0.01,-135.03,-19.239,6.25,6
0,-139.962,-20.975,6.25,6
-0.02,-207.05,-22.132,6.25,6
0.01,-134.043,-123.373,6.25,6
0.03,-187.319,-108.332,6.25,6
0.06,-324.948,-64.364,6.25,6
0.02,-195.705,-8.826,6.25,6
0,-174.306,-18.783,6.25,6
0,-130.705,-80.404,6.25,6
0.07,-167.524,-95.167,6.25,6
0.01,-302.205,-103.512,6.25,6
0.02,-259.088,-99.019,6.25,6
0.03,-213.548,-65.641,6.5,6.25
0.01,-110.841,-54.729,6.5,6.25
0,-138.093,-66.77,6.5,6.25
0.01,-252.582,-141.512,6.5,6.25
0,-313.155,-140.515,6.5,6.25
-0.01,-170.709,-62.783,6.5,6.25
0,-132.102,-39.862,6.5,6.25
-0.01,-169.377,-12.457,6.5,6.25
-0.02,-188.936,-22.113,6.5,6.25
0.01,-78.13,-32.332,6.5,6.25
-0.01,-173.5,-38.975,6.5,6.25
0,-118.924,-38.975,6.5,6.25
0.02,-123.334,-45.617,6.5,6.25
0.02,-132.706,-31.31,6.5,6.25
0.05,-117.821,-13.938,6.5,6.25
0.02,-75.373,-11.894,6.5,6.25
0.04,-77.495,-40.282,6.5,6.25
0.03,-115.442,-30.824,6.5,6.25
0.08,-131.967,-18.075,6.5,6.25
0.02,-114.83,-42.75,6.75,6.5
0.03,-78.719,-40.282,6.75,6.5
0.03,-136.864,-48.096,6.75,6.5
0.08,-100.753,-42.339,6.75,6.5
0.01,-87.288,-10.672,6.75,6.5
0,-98.9,-23.662,6.75,6.5
0.02,-114.469,-37.292,6.75,6.5
-0.04,-108.481,-27.217,6.75,6.5
-0.02,-53.992,-28.995,6.75,6.5
-0.05,-73.153,-24.254,6.75,6.5
-0.01,-116.864,-28.995,6.75,6.5
-0.02,-107.175,-36.104,6.75,6.5
0.02,-101.48,-28.042,6.75,6.5
-0.06,-77.434,-9.901,6.75,6.5
-0.01,-43.263,-3.351,6.75,6.5
0,-59.083,-32.073,6.75,6.5
0.01,-70.473,-48.198,6.75,6.5
0.02,-54.298,11.176,6.75,6.5
0.02,-42.978,-2.817,6.75,6.5
0.03,-72.769,-4.264,6.75,6.5
0.02,-101.368,13.106,6.75,6.5
0.07,-85.876,9.729,6.75,6.5
0.04,-20.337,28.547,6.75,6.5
0.01,-15.334,16.453,6.75,6.5
0.02,-16.295,-0.61,7,6.75
0.06,-23.978,-4.14,7,6.75
0.01,-53.75,13.511,7,6.75
0.02,-64.314,9.392,7,6.75
0,-68.156,29.985,7,6.75
0.05,-68.156,29.985,7,6.75
0.02,-29.74,-11.2,7,6.75
-0.01,-45.351,2.727,7,6.75
0,-53.334,-0.754,7,6.75
-0.04,-68.16,0.117,7,6.75
-0.04,-81.846,-4.234,7,6.75
-0.02,-120.622,-5.104,7,6.75
0,-65.879,37.533,7,6.75
-0.01,-42.482,25.207,7,6.75
0,-43.789,-39.769,7,6.75
0.05,-39.87,-29.772,7,6.75
0.02,-39.87,1.882,7,6.75
0.02,-48.548,0.008,7,6.75
0.03,-53.47,-34.042,7,6.75
0.04,-84.23,-61.962,7,6.75
0.02,-114.991,-55.833,7,6.75
0,-150.674,-47.661,7,6.75
0.01,-143.291,-36.084,7,6.75
0.06,-133.447,-55.833,7.25,7
0.01,-148.213,14.309,7.25,7
0.02,-161.718,13.275,7.25,7
0.02,-103.528,-11.369,7.25,7
0.01,-116.459,-46.467,7.25,7
0,-67.159,-31.531,7.25,7
-0.01,-43.722,-21.077,7.25,7
-0.01,-64.735,-37.505,7.25,7
0,-67.968,-33.772,7.25,7
0,-10.586,12.528,7.25,7
0,-32.13,7.679,7.25,7
0,-23.752,-29.235,7.25,7
-0.06,-18.725,-47.417,7.25,7
-0.01,9.761,-31.439,7.25,7
-0.03,-28.779,-45.213,7.25,7
-0.02,-40.508,-20.971,7.25,7
-0.06,-31.013,-22.073,7,6.75
-0.02,-75.138,-0.586,7,6.75
-0.02,-51.971,-2.508,7,6.75
-0.01,-39.88,-10.695,7,6.75
-0.07,-64.062,-34.438,7,6.75
-0.05,-186.99,-97.48,7,6.75
-0.01,-149.373,-74.556,7,6.75
-0.07,-145.692,-55.33,6.75,6.5
-0.02,-165.135,-82.485,6.75,6.5
-0.02,-192.91,-89.003,6.75,6.5
-0.01,-186.661,-62.39,6.75,6.5
0.01,-179.536,-74.964,6.75,6.5
0,-201.448,-74.276,6.75,6.5
0,-195.472,-104.56,6.75,6.5
0.01,-297.727,-115.573,6.75,6.5
0,-188.998,41.656,6.75,6.5
0.01,-217.595,102.616,6.75,6.5
0.01,-190.465,96.459,6.75,6.5
0,-135.471,28.726,6.75,6.5
0.01,-95.142,33.036,6.75,6.5
0.01,-93.675,-7.604,6.75,6.5
-0.01,-115.673,-24.845,6.75,6.5
0.01,-92.209,-0.831,6.75,6.5
0.02,-87.791,-14.346,6.75,6.5
0.01,-86.871,-18.239,6.75,6.5
0.04,-91.474,-26.673,6.75,6.5
0,-143.955,-36.405,7,6.75
0.01,-165.132,-44.84,7,6.75
0.02,-166.053,4.469,7,6.75
0,-102.523,36.259,7,6.75
-0.02,-53.954,-10.239,7,6.75
0,-90.406,-20.498,7,6.75
0.02,-208.691,-7.389,7,6.75
-0.02,-247.376,-14.229,7,6.75
-0.01,-176.702,-23.348,7,6.75
0,-187.861,-14.229,7,6.75
0.01,-66.601,65.565,7,6.75
0,-46.571,62.834,7,6.75
0.01,-33.873,97.848,7,6.75
0.04,-76.2,112.265,7,6.75
-0.01,12.083,87.55,7,6.75
0.04,26.595,97.848,7,6.75
0.02,82.226,74.505,7,6.75
0.01,74.153,60.245,7,6.75
0.03,54.651,25.336,7,6.75
0.04,47.466,23.531,7,6.75
0.01,56.19,-6.563,7,6.75
0.05,61.322,-17.397,7,6.75
0,3.329,-55.314,7.25,7
0.01,1.963,-56.558,7.25,7
0,-5.216,-67.803,7.25,7
-0.01,-16.383,-72.8,7.25,7
-0.01,-13.99,-102.787,7.25,7
-0.01,-17.181,-102.787,7,6.75
-0.01,-19.573,-81.546,7,6.75
-0.02,-29.942,-60.306,7,6.75
0,-25.156,-24.697,7,6.75
-0.01,-22.032,-9.97,7,6.75
-0.01,-42,-27.603,7,6.75
-0.06,-57.53,-41.403,7,6.75
-0.02,-58.27,-55.969,7,6.75
-0.01,-73.8,-79.735,7,6.75
-0.02,-90.809,-95.835,7,6.75
0.02,-102.642,-101.201,7,6.75
0.13,-68.627,-6.5,7,6.75
0.03,-65.572,-34.247,7,6.75
0.02,-69.85,-38.628,7.25,7
0.23,-73.517,-24.755,7.25,7
0.04,-153.015,-88.394,7.5,7.25
0.05,-174.782,-84.007,7.5,7.25
0.02,-127.216,-41.385,7.5,7.25
0.08,-112.704,-30.73,7.5,7.25
0.03,-131.247,-50.16,7.5,7.25
-0.01,-96.233,-43.413,7.5,7.25
0.01,-108.449,-30.785,7.5,7.25
0,-68.544,-38.096,7.5,7.25
-0.01,-42.483,-15.498,7.5,7.25
0.01,-61.214,-10.845,7.5,7.25
0.01,-72.615,5.106,7.5,7.25
-0.04,-62.028,24.381,7.5,7.25
-0.01,7.195,21.058,7.5,7.25
0,-2.507,9.186,7.5,7.25
0,-5.986,6.025,7.5,7.25
-0.03,-31.507,2.075,7.5,7.25
0,-79.067,24.989,7.5,7.25
0.01,-79.067,21.038,7.5,7.25
-0.02,-61.667,7.606,7.5,7.25
0,-32.667,-20.839,7.5,7.25
0.03,-41.447,-29.6,7.5,7.25
0.07,-27.988,-23.956,7.5,7.25
0.01,-100.178,-24.583,7.5,7.25
0.05,-113.637,-25.837,7.75,7.5
0.02,-75.707,22.449,7.75,7.5
0.03,-66.89,19.106,7.75,7.5
0.03,-92.598,-22.438,7.75,7.5
0.07,-78.231,-29.032,7.75,7.5
0,-171.991,-40.901,7.75,7.5
0.06,-230.969,-20.459,7.75,7.5
0.01,-264.239,-19.141,8,7.75
0.02,-256.518,-30.495,8,7.75
0.02,-289.028,-94.76,8,7.75
0.02,-321.54,-123.918,8,7.75
0,-318.025,-137.604,8,7.75
0.06,-265.304,-107.256,8,7.75
0.01,-150.196,1.638,8,7.75
0.01,-125.062,-3.745,8,7.75
0.03,-126.859,-73.684,8,7.75
0.09,-138.54,-85.233,8,7.75
0.05,-289.48,-175.062,8.25,8
0.06,-264.323,-135.923,8.25,8
0.03,-243.658,-99.349,8.25,8
0.03,-229.238,-90,8.25,8
0.03,-205.311,-87.128,8.25,8
0,-206.398,-94.308,8.25,8
0.15,-206.398,-94.308,8.25,8
0.05,-200.961,-164.667,8.5,8.25
0,-168.332,-83.539,8.5,8.25
0.05,-170.656,-115.888,8.5,8.25
-0.01,-264.059,-32.604,8.5,8.25
0,-236.135,-15.04,8.5,8.25
0,-173.545,3.656,8.5,8.25
0.06,-157.174,-9.941,8.5,8.25
0.02,-116.684,-38.578,8.75,8.5
0.01,-132.115,-43.396,8.75,8.5
0.02,-186.725,-80.554,8.75,8.5
0.11,-199.781,-81.242,8.75,8.5
0,-117.871,2.021,8.75,8.5
0.01,-103.74,-13.856,8.75,8.5
0.03,-179.764,-73.106,8.75,8.5
0.01,-217.775,-107.195,8.75,8.5
0,-282.396,-116.124,8.75,8.5
0.01,-340.682,-105.572,8.75,8.5
-0.01,-268.029,-215.384,9,8.75
0.02,-246.656,-191.33,8.75,8.5
0.155,-311.795,-291.728,9,8.75
0.135,-236.479,-306.892,9,8.75
0.02,-142.562,53.578,9.25,9
0.03,-106.765,91.116,9.25,9
0.11,-84.156,117.103,9.25,9
0.03,-37.683,17.773,9.25,9
0.01,-32.031,18.928,9.25,9
0,-39.567,11.42,9.5,9.25
0,-11.306,3.335,9.5,9.25
0,-8.868,4.814,9.5,9.25
0.01,-12.19,1.481,9.5,9.25
-0.06,-25.954,4.814,9.5,9.25
0,-7.444,-9.853,9.25,9
-0.03,-43.04,-2.519,9.25,9
0.02,0.625,20.814,9.25,9
0,3.953,14.981,9.25,9
0.01,-18.958,34.078,9.25,9
0,-53.324,58.443,9.25,9
0.019,-11.668,21.567,9.25,9
0.025,-10.627,9.055,9.25,9
0.017,-9.585,43.297,9.25,9
0.049,1.87,65.028,9.5,9.25
0.03,14.367,17.615,9.5,9.25
0.05,39.274,17.767,9.5,9.25
0.04,50.794,14.693,9.5,9.25
0.08,12.202,5.472,9.5,9.25
0.03,18.538,0.861,9.75,9.5
0.01,27.754,3.167,9.75,9.5
-0.01,1.833,-1.443,9.75,9.5
0,29.482,5.472,9.75,9.5
-0.01,18.065,-6.783,9.75,9.5
0,10.084,-7.484,9.75,9.5
-0.08,5.731,-10.289,9.75,9.5
-0.01,5.006,-13.094,9.5,9.25
-0.03,23.145,-17.301,9.5,9.25
0,17.34,-25.014,9.5,9.25
0.02,-242.624,-265.486,9.5,9.25
0.02,-232.892,-241.605,9.5,9.25
0.18,-229.149,-190.433,9.5,9.25
0.07,-198.418,-130.069,9.75,9.5
0.02,-145.835,-54.365,9.75,9.5
0,-88.279,-44.788,9.75,9.5
0,-66.983,-52.191,9.75,9.5
0,-62.885,-60.605,9.75,9.5
0.02,-66.983,-56.999,9.75,9.5
-0.01,-62.201,-75.63,9.75,9.5
0,-54.004,-63.61,9.75,9.5
-0.01,-59.469,-50.388,9.75,9.5
-0.04,-59.469,-19.738,9.75,9.5
-0.01,-4.02,-1.505,9.75,9.5
0.02,-3.396,-8.123,9.75,9.5
0.04,-2.772,-6.138,9.75,9.5
0.02,-13.379,19.674,9.75,9.5
0.01,-26.48,44.163,10,9.75
0.07,-30.849,54.752,10,9.75
0.07,-2.776,29.556,10,9.75
0,-30.338,-1.72,10,9.75
0.01,-23.686,-9.348,10,9.75
-0.01,-21.785,-3.246,10,9.75
-0.01,-6.578,-7.06,10,9.75
-0.02,-7.269,-18.745,10,9.75
0.02,-26.809,-54.293,10,9.75
-0.01,-39.51,-77.189,10,9.75
-0.01,-152.844,-128.402,10,9.75
-0.02,-164.569,-127.197,10,9.75
0,-172.385,-144.067,10,9.75
0,-98.132,-133.825,10,9.75
-0.02,-87.702,-126.749,10,9.75
0.02,-96.945,-142.868,10,9.75
0.03,-157.029,-164.63,10,9.75
0.01,-165.349,-109.823,10,9.75
0,-153.332,-49.375,10,9.75
0,-145.013,-46.15,10,9.75
0.01,-120.979,-44.539,10,9.75
0.01,-115.6,-17.618,10,9.75
0.02,-80.958,-14.713,10,9.75
0.03,-76.703,-28.657,10,9.75
-0.01,-86.428,-55.383,10,9.75
-0.01,-68.803,-48.992,10,9.75
0,-53.608,-32.143,10,9.75
-0.02,-110.737,-64.098,10,9.75
-0.01,-107.958,-73.744,10,9.75
0,-93.721,-55.798,10,9.75
0,-93.721,-72.492,10,9.75
-0.01,-138.289,-116.732,10,9.75
-0.01,-159.954,-115.063,10,9.75
0.05,-205.76,-178.084,10,9.75
0.02,-249.175,-129.307,10,9.75
-0.01,-172.05,-57.65,10,9.75
0,-161.464,-30.886,10,9.75
-0.01,-161.464,-22.252,10,9.75
0,-146.306,-58.636,10,9.75
0,-138.847,-51.687,10,9.75
0.01,-150.035,-46.822,10,9.75
0,-190.435,-51.687,10,9.75
0.01,-132.632,-71.144,10,9.75
0.02,-151.278,-117.705,10,9.75
-0.01,-143.82,-62.805,10,9.75
0.01,-115.229,-40.568,10,9.75
0.02,-118.958,-114.23,10,9.75
-0.01,-123.232,-95.558,10.25,10
0,-117.048,-83.412,10,9.75
-0.04,-130.961,-81.27,10,9.75
-0.01,-142.813,-101.987,10,9.75
0.05,-154.149,-122.705,10,9.75
0,-101.878,-92.356,10,9.75
0.01,-105.035,-85.535,10,9.75
-0.03,-108.192,-80.419,10.25,10
-0.02,-138.708,-144.369,10,9.75
0.01,-60.666,-39.768,10,9.75
0,-98.389,-22.649,10,9.75
0.03,-78.211,-38.89,10,9.75
0,-111.548,-45.914,10,9.75
0.02,-105.467,-46.03,10,9.75
0,-182.337,-108.92,10.25,10
-0.01,-204.061,-98.438,10.25,10
-0.01,-272.575,-174.431,10.25,10
0,-251.686,-146.131,10,9.75
0,-262.548,-157.66,10,9.75
-0.01,-276.753,-156.612,10,9.75
0.02,-284.272,-201.684,10,9.75
0.01,-284.015,-283.793,10.25,10
0,-251.847,-291.443,10.25,10
0.03,-285.413,-307.92,10.25,10
0.01,-262.336,-324.986,10.25,10
0,-270.728,-379.713,10.25,10
0,-326.672,-352.056,10.25,10
-0.02,-98.571,-150.244,10.25,10
-0.02,-110.988,-152.779,10.25,10
-0.01,-115.127,-118.552,10.25,10
0.01,-86.154,-73.549,10.25,10
0.05,-144.9,-127.303,10.25,10
0.02,-202.258,-172.341,10.25,10
0.05,-220.581,-134.715,10.25,10
0.07,-186.325,-93.668,10.25,10
0.02,-66.033,-70.294,10.25,10
-0.03,-127.688,73.784,10.25,10
-0.01,-64.596,79.081,10.25,10
-0.05,-82.965,422.777,10.25,10
-0.01,-105.326,235.627,10.25,10
-0.01,-88.555,132.636,10.25,10
-0.01,-51.819,40.238,10.25,10
0.01,-15.888,19.044,10.25,10
-0.01,-5.832,5.976,10.25,10
0,-4.575,7.376,10.25,10
0.01,-27.199,5.976,10.25,10
-0.02,-34.112,11.576,10.25,10
-0.01,-57.364,16.243,10.25,10
0,-58.621,6.909,10.25,10
0.02,-53.594,10.643,10.25,10
0,-64.316,13.23,10.25,10
0.02,-79.11,8.836,10.25,10
0.08,-87.74,7.078,10.25,10
0.02,-200.544,-43.017,10.25,10
0.01,-223.352,-43.017,10.25,10
0.01,-190.682,-13.575,10.25,10
-0.05,-227.256,-18.554,10.25,10
0,-400.969,-144.785,10.25,10
0,-355.576,-131.419,10.25,10
-0.01,-480.405,-269.53,10.25,10
-0.03,-438.505,-292.796,10.25,10
-0.01,-212.416,-261.114,10.25,10
0,-221.896,-282.61,10.25,10
0.01,-111.645,-159.845,10.25,10
0.05,-92.635,-112.704,10.25,10
0.04,-176.275,70.461,10.25,10
0,-216.193,-45.429,10.25,10
0.01,-297.832,-25.906,10.25,10
0.01,-332.695,1.943,10.5,10.25
-0.01,-490.855,-2.699,10.5,10.25
0,-549.528,-97.383,10.5,10.25
0,-566.535,-63.501,10.5,10.25
0.03,-587.793,-78.353,10.5,10.25
0.03,-404.312,-2.411,10.5,10.25
0.13,-272.319,9.184,10.5,10.25
0.04,9.838,336.038,10.5,10.25
0.01,-3.075,212.916,10.5,10.25
0.06,-35.594,103.044,10.5,10.25
-0.01,-50.689,-34.868,10.75,10.5
-0.1,-52.01,-56.715,10.75,10.5
-0.03,-129.297,-74.589,10.5,10.25
-0.02,-149.775,-66.645,10.5,10.25
-0.09,-166.289,-54.232,10.5,10.25
0.06,-231.174,-158.093,10.5,10.25
0.02,-250.541,-104.383,10.5,10.25
0.02,-198.282,-80.954,10.5,10.25
0.02,-174.227,-79.782,10.5,10.25
0.07,-209.066,-90.325,10.5,10.25
0.01,-152.66,-26.48,10.5,10.25
0.02,-114.503,-29.994,10.75,10.5
0.04,-150.172,-54.01,10.75,10.5
0.01,-67.795,8.939,10.75,10.5
-0.01,-50.903,-11.111,10.75,10.5
-0.05,-46.174,-2.798,10.75,10.5
-0.01,-42.12,28.01,10.75,10.5
-0.02,-45.498,-5.243,10.75,10.5
-0.01,12.609,10.406,10.5,10.25
0.02,-0.905,12.362,10.5,10.25
0.02,88.283,49.037,10.5,10.25
0.01,-106.814,26.409,10.75,10.5
0.02,-102.375,-9.59,10.75,10.5
0.04,-104.595,-15.237,10.75,10.5
0,-25.803,-49.825,10.75,10.5
0,-22.473,-49.119,10.75,10.5
0.01,-16.925,-44.884,10.75,10.5
0,-20.254,-39.237,10.75,10.5
0,-101.266,-90.765,10.75,10.5
0.02,-126.451,-106.702,10.75,10.5
0.01,-420.717,-131.822,10.75,10.5
0,-332.12,-18.493,10.75,10.5
0.01,-316.3,8.962,10.75,10.5
0.01,-267.256,30.577,10.75,10.5
0.02,-235.614,38.171,10.75,10.5
0,-172.331,-36.018,10.75,10.5
-0.02,-166.625,-48.93,10.75,10.5
0,-141.494,-75.966,10.75,10.5
-0.01,-118.648,-67.469,10.75,10.5
0,-115.221,-85.236,10.75,10.5
-0.01,-88.947,-94.505,10.75,10.5
0,-67.244,-59.745,10.75,10.5
0,-80.951,-104.547,10.75,10.5
0,-80.26,-108.775,10.75,10.5
0.01,-84.865,-166.947,10.75,10.5
0,-83.023,-201.198,10.75,10.5
0,-83.023,-201.198,10.75,10.5
0.02,-40.649,-52.777,10.75,10.5
-0.01,-35.122,-59.845,10.75,10.5
-0.05,-32.359,-73.437,10.75,10.5
0,-87.748,-146.439,10.75,10.5
0,-79.365,-96.23,10.75,10.5
0,-148.527,-123.881,10.75,10.5
0.01,-133.857,-98.413,10.75,10.5
0,-145.733,-79.493,10.75,10.5
0.01,-166.691,-33.65,10.75,10.5
0.01,-60.271,-0.958,10.75,10.5
0.06,-43.557,8.646,10.75,10.5
0.01,-143.838,1227.609,10.75,10.5
0.04,26.48,1083.556,10.75,10.5
0.03,223.859,634.248,10.75,10.5
0.1,133.924,415.424,11,10.75
0.02,-19.476,71.124,11,10.75
0.02,-34.115,63.212,11,10.75
0.02,-58.819,28.742,11,10.75
0.05,-63.395,15.744,11,10.75
0.05,-119.208,-50.372,11,10.75
0,-164.925,-169.665,11.25,11
0,-200.81,-252.111,11.25,11
0,-364.983,-183.542,11.25,11
0.01,-407.147,-219.459,11.25,11
0.01,-380.234,-196.603,11.25,11
0.04,-373.954,-221.092,11.25,11
0.02,-382.028,-128.034,11.25,11
