delta_lati,sst,atms,u10,v10
0.02,-298.789,-119.874,11.25,11
0.01,-232.121,-112.321,11.25,11
0,-284.581,-169.994,11.25,11
0.08,-284.581,-169.994,11.25,11
0.01,-256.165,-100.649,11.25,11
0,-229.935,-91.037,11.25,11
0,-212.448,-38.17,11.25,11
0.04,-189.497,-19.633,11.25,11
0.01,-135.944,-116.441,11.5,11.25
0,-122.539,-129.116,11.5,11.25
0.01,-127.7,-156.142,11.5,11.25
0.01,-140.603,-166.152,11.5,11.25
0,-37.38,-53.042,11.5,11.25
0.01,-24.477,-39.029,11.5,11.25
0.02,-8.994,-20.01,11.5,11.25
0.02,5.199,14.023,11.5,11.25
-0.01,5.173,8.096,11.5,11.25
0.01,6.168,-0.349,11.5,11.25
-0.02,-1.794,-2.947,11.5,11.25
0,9.154,23.036,11.5,11.25
0,11.145,15.891,11.5,11.25
0,13.135,11.344,11.5,11.25
0.01,-0.799,-0.998,11.5,11.25
0.06,-0.799,4.198,11.5,11.25
0.02,-1.794,52.266,11.5,11.25
0.03,9.742,48.901,11.5,11.25
0.01,14.603,31.093,11.5,11.25
0.02,23.514,37.504,11.5,11.25
0,21.083,53.175,11.5,11.25
0,8.122,43.915,11.5,11.25
-0.01,-5.651,58.873,11.5,11.25
0.01,6.501,48.901,11.5,11.25
0,38.697,47.969,11.5,11.25
0,28.604,40.609,11.5,11.25
-0.03,28.604,40.609,11.5,11.25
-0.02,19.23,0.865,11.5,11.25
0,12.02,-3.551,11.5,11.25
-0.01,10.578,7.489,11.5,11.25
-0.06,6.973,8.225,11.5,11.25
0,19.9,13.267,11.5,11.25
-0.02,42.485,18.208,11.5,11.25
0.01,54.442,31.793,11.5,11.25
-0.05,56.435,25.618,11.5,11.25
0,56.435,28.706,11.5,11.25
0.01,33.85,23.765,11.5,11.25
0,37.835,31.176,11.5,11.25
0.05,47.135,55.26,11.5,11.25
0,71.949,34.467,11.5,11.25
0.03,66.981,23.875,11.5,11.25
-0.01,6.119,-3.088,11.5,11.25
-0.02,19.782,17.134,11.5,11.25
-0.01,11.859,14.304,11.5,11.25
-0.02,11.859,11.567,11.5,11.25
0.01,10.91,4.039,11.5,11.25
-0.03,5.213,7.461,11.5,11.25
-0.01,-30.859,-26.753,11.5,11.25
0.02,-24.215,-34.965,11.5,11.25
0.01,-10.926,-15.121,11.5,11.25
0.02,-29.567,-25.317,11.5,11.25
0.03,-33.426,-13.772,11.5,11.25
0,-25.707,-21.922,11.5,11.25
0.03,-25.707,-21.922,11.5,11.25
0.01,-45.006,-37.542,11.5,11.25
0.01,-21.847,-23.28,11.5,11.25
0.01,-40.374,-17.847,11.5,11.25
0,-28.795,-5.622,11.5,11.25
0.02,-35.873,2.721,11.5,11.25
0.01,-39.503,28.987,11.5,11.25
0,-42.225,50,11.5,11.25
0,154.666,254.221,11.5,11.25
-0.01,166.462,248.967,11.5,11.25
-0.01,176.442,210.881,11.5,11.25
-0.03,158.296,177.392,11.5,11.25
0,142.871,40.151,11.5,11.25
0,95.648,6.809,11.5,11.25
-0.02,51.789,-3.019,11.5,11.25
0,41.555,-5.967,11.5,11.25
-0.09,32.052,-11.372,11.5,11.25
-0.01,13.046,-9.406,11.5,11.25
0,7.93,-15.794,11.5,11.25
-0.01,-1.573,-26.604,11.5,11.25
0,-7.422,-15.794,11.5,11.25
-0.01,-9.31,-14.821,11.5,11.25
0,-22.601,-31.288,11.5,11.25
-0.01,-55.091,-46.619,11.5,11.25
-0.01,-102.349,-56.84,11.5,11.25
-0.04,-104.563,-55.705,11.5,11.25
0,-101.609,-19.364,11.25,11
-0.01,-86.097,-17.947,11.25,11
-0.01,-65.465,-27.994,11.25,11
-0.05,-55.149,-29.052,11.25,11
-0.01,-118.764,-76.643,11.25,11
-0.02,-188.396,-133.752,11.25,11
-0.01,-245.134,-220.474,11.25,11
-0.01,-294.711,-115.633,11.25,11
-0.01,-313.809,-152.945,11.25,11
0,-313.809,-166.787,11.25,11
0,-297.726,-180.628,11.25,11
-0.03,-297.726,-180.628,11.25,11
-0.01,-315.819,-627.174,11.25,11
-0.01,-314.814,-696.382,11.25,11
-0.01,-586.472,-862.88,11.25,11
-0.01,-711.27,-900.48,11.25,11
0,-738.4,-891.967,11.25,11
-0.02,-778.19,-762.141,11.25,11
-0.01,-537.639,-157.706,11,10.75
-0.01,-413.746,-12.983,11,10.75
0,-135.321,156.66,11,10.75
-0.02,-115.64,151.14,11,10.75
0.02,-137.289,112.499,11,10.75
-0.04,-141.226,103.529,11,10.75
-0.01,-80.213,25.557,11,10.75
-0.01,-84.805,15.897,11,10.75
-0.01,-84.805,20.037,11,10.75
0,-106.455,33.148,11,10.75
0,-93.958,38.208,11,10.75
0.01,-126.962,65.852,11,10.75
-0.05,-125.021,84.767,11,10.75
-0.01,-7.89,38.936,11,10.75
0,-6.595,35.299,11,10.75
-0.01,-0.124,14.929,11,10.75
-0.01,4.406,18.567,11,10.75
0,-20.832,70.217,11,10.75
-0.02,-13.558,41.604,11,10.75
-0.01,-6.437,14.603,11,10.75
-0.03,12.891,6.788,11,10.75
0,-36.955,-2.449,11,10.75
-0.01,-24.748,5.366,11,10.75
0,-30.852,40.893,11,10.75
0,-32.795,34.417,11,10.75
-0.01,-31.339,25.218,11,10.75
-0.04,-50.26,31.657,11,10.75
-0.02,-16.784,17.858,10.75,10.5
-0.1,-18.24,14.179,10.75,10.5
-0.01,-82.281,27.977,10.75,10.5
0,-88.524,20.128,10.75,10.5
0.01,-99.552,20.128,10.75,10.5
0,-103.228,22.06,10.75,10.5
0,-108.741,22.704,10.75,10.5
-0.02,-108.741,22.704,10.75,10.5
-0.03,-109.66,33.921,10.75,10.5
0,-76.831,23.038,10.75,10.5
-0.05,-75.543,20.174,10.75,10.5
-0.02,-75.543,4.709,10.5,10.25
-0.12,-70.394,0.126,10.5,10.25
-0.01,-140.567,-25.194,10.5,10.25
-0.06,-151.319,-27.66,10.5,10.25
0,-151.319,-22.729,10.5,10.25
-0.04,-139.492,-17.799,10.5,10.25
-0.03,-140.567,-22.729,10.25,10
-0.01,-114.2,-32.503,10.25,10
0,-118.751,-26.095,10.25,10
0.01,-114.2,-14.704,10.25,10
-0.01,-100.547,-3.312,10.25,10
-0.04,-100.547,-3.312,10.25,10
0.01,-95.996,-24.671,10.25,10
-0.02,-95.996,-33.927,10.25,10
-0.03,-105.098,-24.671,10.25,10
-0.07,-103.277,-17.552,10.25,10
-0.02,-45.309,18.036,10.25,10
-0.02,-38.588,12.531,10.25,10
-0.02,-33.788,10.696,10.25,10
-0.13,-21.307,7.638,10,9.75
-0.01,-8.826,-10.711,10,9.75
-0.06,-22.267,-22.944,10,9.75
-0.02,-50.659,-10.97,10,9.75
-0.02,-45.605,-10.296,10,9.75
0,-40.55,2.497,10,9.75
-0.08,-35.496,12.597,10,9.75
-0.01,4.942,-1.543,9.75,9.5
-0.01,143.541,64.636,9.75,9.5
-0.02,172.061,68.456,9.75,9.5
0,212.124,72.276,9.75,9.5
-0.05,248.791,105.891,9.75,9.5
0.01,504.786,214.379,9.75,9.5
0.01,575.406,194.515,9.75,9.5
0,607.999,167.011,9.75,9.5
0.01,574.047,112.767,9.75,9.5
0,203.975,16.504,9.75,9.5
0.01,162.039,-7.706,9.75,9.5
0.01,123.174,-38.437,9.75,9.5
-0.02,69.36,-46.632,9.75,9.5
-0.01,36.474,-18.974,9.75,9.5
-0.01,35.478,-29.218,9.75,9.5
0.01,33.484,-32.291,9.75,9.5
-0.03,30.495,-33.315,9.75,9.5
-0.01,39.464,-11.804,9.75,9.5
-0.02,42.715,-7.92,9.75,9.5
0,42.715,-7.92,9.75,9.5
-0.05,24.908,-6.766,9.75,9.5
0,0.424,29.031,9.5,9.25
0.01,-5.141,32.495,9.5,9.25
0,-2.915,7.091,9.75,9.5
-0.02,6.762,20.463,9.75,9.5
0.02,13.157,23.904,9.5,9.25
-0.01,-4.43,8.765,9.75,9.5
-0.01,-3.631,13.582,9.5,9.25
-0.01,-14.023,20.463,9.5,9.25
-0.02,-34.009,23.904,9.5,9.25
-0.08,-8.427,-7.063,9.5,9.25
-0.03,3.588,5.539,9.5,9.25
-0.05,-4.183,0.857,9.5,9.25
-0.02,-37.485,-28.008,9.5,9.25
0.02,8.737,10.97,9.5,9.25
-0.02,10.395,-3.56,9.5,9.25
0,1.278,-9.505,9.5,9.25
-0.04,-2.866,-11.486,9.5,9.25
-0.01,-5.352,-2.9,9.25,9
0,0.449,8.988,9.25,9
-0.03,-6.181,3.044,9.25,9
0,6.783,1.014,9.25,9
0,19.555,3.4,9.25,9
0,21.296,4.594,9.25,9
-0.04,19.555,-3.161,9.25,9
0,32.908,12.349,9.25,9
0,46.841,21.297,9.25,9
0,51.485,73.793,9.25,9
0.01,87.768,92.253,9.25,9
-0.03,62.695,76.471,9.25,9
0.01,48.904,40.553,9.25,9
0,50.158,26.404,9.25,9
0.05,50.158,26.404,9.25,9
0,2.519,20.962,9.25,9
0.02,6.907,26.404,9.25,9
0,-7.953,24.426,9.25,9
-0.05,1.178,22.493,9.25,9
-0.01,-15.055,23.46,9.25,9
-0.01,-0.852,17.661,9.25,9
-0.02,5.236,14.762,9.25,9
-0.06,5.236,7.998,9.25,9
-0.02,-10.295,-4.927,9.25,9
-0.04,-11.268,-10.363,9.25,9
-0.01,-19.053,8.965,9.25,9
-0.05,-21.973,1.717,9,8.75
-0.02,-48.248,54.869,9,8.75
-0.01,-46.301,58.493,9,8.75
0.01,-45.328,16.817,9,8.75
0.02,-161.047,37.976,9,8.75
0.01,-145.694,97.633,9,8.75
0.08,-121.482,181.052,9,8.75
0.02,-84.87,142.123,9.25,9
0.03,-52.392,90.049,9.25,9
0.01,-35.857,58.198,9.25,9
0.06,-35.857,47.581,9.25,9
0.01,-30.542,38.987,9.25,9
0.02,-16.812,13.703,9.25,9
0,-17.529,-1.277,9.25,9
-0.02,-28.287,-10.015,9.25,9
-0.02,-5.338,-7.519,9.25,9
-0.01,-2.469,-6.27,9.25,9
-0.01,-8.206,-7.519,9.25,9
-0.03,-18.247,-8.767,9.25,9
-0.02,-10.358,17.447,9.25,9
-0.02,-4.066,18.417,9.25,9
0.03,3.727,26.855,9.25,9
0,-2.508,33.887,9.25,9
0.01,-10.301,44.435,9.25,9
0.02,13.857,21.933,9.25,9
0.02,14.637,17.714,9.25,9
0.02,16.975,14.901,9.25,9
0.14,9.961,17.011,9.25,9
0.03,31.002,52.872,9.5,9.25
0.05,25.65,49.233,9.5,9.25
0.02,6.078,27.113,9.5,9.25
0.08,9.482,16.704,9.5,9.25
0.02,35.861,21.908,9.5,9.25
0,35.011,19.306,9.5,9.25
-0.1,32.458,4.342,9.5,9.25
-0.01,13.373,-22.315,9.5,9.25
-0.07,-15.763,-22.981,9.5,9.25
0,-7.194,12.3,9.5,9.25
-0.01,9.945,-1.68,9.5,9.25
0.01,6.517,-9.668,9.5,9.25
0.04,7.129,38.428,9.5,9.25
0,3.917,53.509,9.5,9.25
0.04,1.347,61.83,9.5,9.25
0.21,0.705,65.99,9.5,9.25
0.08,-13.429,13.986,9.75,9.5
0.06,-15.356,11.385,9.75,9.5
0.15,-22.423,20.226,9.75,9.5
0.04,-19.779,52.433,10,9.75
0.01,-15.554,48.774,10,9.75
0.03,-15.554,28.388,10,9.75
0,-21.59,24.206,10,9.75
0.05,-21.59,24.206,10,9.75
0,-18.572,-11.339,10.25,10
-0.01,-21.59,-14.998,10.25,10
-0.01,-41.602,-17.51,10.25,10
-0.03,-35.333,-21.824,10.25,10
0.01,-125.886,-11.04,10,9.75
0.02,-130.065,-8.164,10,9.75
0.08,-127.975,10.528,10.25,10
0.03,-99.883,4.477,10.25,10
0.05,-91.244,7.596,10.25,10
0.06,-96.742,-8.78,10.25,10
0.16,-57.475,-5.661,10.25,10
0.04,-89.674,-33.734,10.5,10.25
0.13,-110.878,-35.294,10.5,10.25
0,-118.731,-18.138,10.75,10.5
0.02,-141.926,-14.646,10.75,10.5
0.02,-73.151,1.148,10.75,10.5
-0.02,-59.547,-1.221,10.75,10.5
0.02,-15.713,-2.801,10.75,10.5
0.02,-21.759,-13.065,10.75,10.5
0.02,-50.478,-13.855,10.75,10.5
0.03,-20.247,2.728,10.75,10.5
0.01,-4.376,5.886,10.75,10.5
0.02,-6.204,-0.896,10.75,10.5
0.01,-31.251,-10.268,10.75,10.5
0.04,-43.311,15.84,10.75,10.5
0.02,-21.047,58.017,10.75,10.5
0.06,-21.975,44.627,11,10.75
0.07,-8.987,17.179,11,10.75
0,-46.07,0.853,11,10.75
0.02,-146.013,-0.852,11,10.75
0.04,-171.783,19.605,11,10.75
0.02,-102.642,-3.693,11,10.75
0.02,-108.927,-15.627,11,10.75
0.01,-152.927,-7.671,11,10.75
0.08,-191.897,11.649,11.25,11
0,-206.354,-38.356,11.25,11
0.01,-197.828,-34.5,11.25,11
0.07,-308.454,-49.349,11.25,11
0.01,-300.937,24.899,11.25,11
0.01,-261.196,15.17,11.25,11
0.13,-267.641,-9.409,11.25,11
0.04,-191.88,-10.945,11.5,11.25
0.02,-200.958,11.145,11.5,11.25
0.05,-175.741,0.1,11.5,11.25
0.11,-316.954,9.567,11.5,11.25
0.02,-228.562,-71.04,11.75,11.5
0.03,-264.162,-108.169,11.75,11.5
0.07,-328.973,-116.125,11.75,11.5
-0.01,-188.396,-73.029,11.75,11.5
-0.01,-349.056,-111.484,11.75,11.5
0.01,-393.784,-193.034,11.75,11.5
-0.03,-257.992,-129.584,11.75,11.5
0,-218.442,-92.577,11.75,11.5
-0.05,-209.454,-66.742,11.75,11.5
0.01,-100.693,54.752,11.75,11.5
0.01,-82.716,28.917,11.75,11.5
0.05,-67.436,21.935,11.75,11.5
0.03,1.85,5.66,11.75,11.5
0.01,-5.086,0.922,11.75,11.5
0.01,-50.168,4.475,11.75,11.5
-0.01,-44.966,9.214,11.75,11.5
0,-51.035,9.806,11.75,11.5
0.02,-87.447,5.068,11.75,11.5
-0.01,-27.627,16.321,11.75,11.5
-0.02,-46.717,18.257,11.75,11.5
0.03,-68.871,26.713,11.75,11.5
-0.06,-107.271,27.317,11.75,11.5
0,-88.81,46.043,11.75,11.5
-0.02,-114.656,75.641,11.75,11.5
0.01,-91.763,70.205,11.75,11.5
0,-55.578,27.922,11.75,11.5
0,-45.166,14.637,11.75,11.5
0.05,-75.236,9.493,11.75,11.5
-0.01,-85.26,8.024,11.75,11.5
0.02,-60.201,-49.287,11.75,11.5
0.01,-96.954,-111.007,11.75,11.5
0.02,-142.895,-116.15,11.75,11.5
-0.01,-90.271,-64.717,11.75,11.5
-0.01,-71.713,-52.9,11.75,11.5
0,-116.814,-91.221,11.75,11.5
-0.09,-159.1,-76.267,11.75,11.5
-0.01,-6.879,49.91,11.75,11.5
-0.02,-4.061,48.976,11.75,11.5
0,11.443,254.598,11.75,11.5
0.01,151.02,307.014,11.75,11.5
0,268.485,351.604,11.75,11.5
-0.01,328.724,331.857,11.75,11.5
0,468.777,656.726,11.75,11.5
0.02,465.766,619.143,11.75,11.5
0.01,381.432,448.428,11.75,11.5
0.04,298.604,249.047,11.75,11.5
0.03,338.121,195.548,11.75,11.5
-0.04,301.17,175.873,11.75,11.5
-0.01,127.504,120.782,11.75,11.5
0,134.895,124.717,11.75,11.5
0,110.26,113.474,11.75,11.5
0.03,107.332,96.551,11.75,11.5
-0.01,83.219,68.163,11.75,11.5
0.01,62.395,52.238,11.75,11.5
0.01,55.818,52.93,11.75,11.5
0.02,26.225,9.31,11.75,11.5
-0.02,48.145,10.002,11.75,11.5
-0.01,26.695,16.635,11.75,11.5
-0.03,37.439,19.872,11.75,11.5
-0.01,32.834,23.109,11.75,11.5
-0.1,34.369,27.967,11.75,11.5
-0.02,106.514,76.532,11.75,11.5
-0.03,134.144,99.196,11.5,11.25
0,86.389,116.575,11.5,11.25
-0.01,68.008,123.769,11.5,11.25
0,46.563,115.856,11.5,11.25
0,78.22,142.47,11.5,11.25
0.01,78.22,142.47,11.5,11.25
0.01,78.22,57.594,11.5,11.25
0.02,108.855,84.927,11.5,11.25
0,87.41,44.646,11.5,11.25
0.04,87.41,44.646,11.5,11.25
0.01,144.14,82.225,11.75,11.5
-0.02,147.321,83.851,11.75,11.5
-0.01,61.431,35.06,11.75,11.5
0,69.384,10.664,11.75,11.5
-0.01,79.722,-15.358,11.75,11.5
-0.08,102.785,-53.848,11.75,11.5
-0.02,102.785,-63.607,11.5,11.25
-0.04,98.007,-96.989,11.5,11.25
-0.04,19.125,-51.858,11.5,11.25
0,31.346,-53.269,11.5,11.25
-0.01,28.013,-75.834,11.5,11.25
0.01,-34.204,-80.77,11.5,11.25
0.01,-66.424,-6.727,11.5,11.25
0,-56.767,-7.501,11.5,11.25
0.01,-89.492,-9.488,11.5,11.25
0.01,-103.644,-10.15,11.5,11.25
0.01,-283.191,-83.664,11.5,11.25
0,-326.531,-83.001,11.5,11.25
0.02,-283.191,-60.484,11.5,11.25
0.01,-261.08,-18.097,11.5,11.25
-0.01,-206.928,-32.792,11.5,11.25
0,-183.852,-45.848,11.5,11.25
0,-152.23,-56.729,11.5,11.25
-0.03,-152.23,-56.729,11.5,11.25
-0.01,-180.434,-41.496,11.5,11.25
-0.01,-148.811,-20.824,11.5,11.25
-0.02,-136.846,-23.544,11.5,11.25
-0.04,-94.967,-2.871,11.5,11.25
-0.06,-16.142,-19.454,11.5,11.25
0.01,-11.268,-54.626,11.25,11
-0.04,-7.612,-57.264,11.25,11
-0.01,-17.361,-101.229,11.25,11
-0.02,-19.798,-111.78,11.25,11
-0.01,-66.107,-139.039,11.25,11
-0.03,-125.821,-134.642,11.25,11
0.01,-104.65,-70.326,11.25,11
-0.01,-100.405,-82.558,11.25,11
0.03,-114.2,-103.802,11.25,11
-0.08,-147.097,-107.021,11.25,11
-0.09,-72.814,-34.919,11.25,11
-0.01,-61.161,-7.331,11,10.75
-0.02,-54.246,-5.47,11,10.75
0,-62.891,-11.673,11,10.75
-0.09,-79.314,0.733,11,10.75
-0.08,5.4,21.825,11,10.75
-0.02,28.24,36.884,11,10.75
-0.01,11.357,12.812,11,10.75
-0.01,7.84,7.001,10.75,10.5
-0.06,-15.374,46.015,10.75,10.5
0,73.261,349.828,10.75,10.5
-0.01,244.903,436.987,10.75,10.5
-0.01,268.117,328.245,10.75,10.5
-0.01,223.799,275.95,10.75,10.5
0.01,170.696,155.672,10.75,10.5
-0.01,154.028,125.922,10.75,10.5
-0.01,115.929,107.742,10.75,10.5
0,121.485,100.305,10.75,10.5
-0.07,121.485,100.305,10.75,10.5
-0.01,33.381,41.632,10.75,10.5
-0.01,31,68.076,10.75,10.5
-0.01,-3.13,85.43,10.75,10.5
-0.12,-10.274,83.777,10.75,10.5
-0.17,-16.543,39.75,10.5,10.25
-0.11,-11.419,-9.448,10.25,10
-0.01,-48.62,-47.593,10.25,10
-0.04,-63.584,-40.63,10.25,10
-0.01,-66.577,-31.579,10.25,10
-0.01,-71.066,-58.036,10.25,10
0,-96.505,-74.746,10.25,10
0.02,-105.483,-79.619,10.25,10
0.02,-81.541,-51.074,10.25,10
0.01,-78.263,-37.632,10.25,10
0.02,-89.329,-30.906,10.25,10
-0.03,-96.442,-31.867,10.25,10
0,-137.542,-14.571,10.25,10
-0.02,-149.397,-13.61,10.25,10
-0.01,-204.724,-29.945,10.25,10
0.01,-245.823,-33.789,10.25,10
0.01,-219.741,-7.845,10.25,10
-0.02,-191.471,-6.56,10.25,10
0,-169.752,-13.746,10.25,10
-0.02,-169.029,-10.552,10.25,10
-0.02,-109.664,-26.521,10.25,10
-0.03,-119.799,-20.932,10.25,10
-0.01,-145.862,-12.947,10.25,10
-0.13,-115.456,24.579,10,9.75
-0.01,-123.774,-38.418,10,9.75
-0.03,-118.476,-37.174,10,9.75
0,-121.788,-34.687,10,9.75
-0.05,-117.813,-43.393,10,9.75
0.01,-75.516,23.044,10,9.75
-0.02,-54.182,27.604,10,9.75
0.02,-47.071,22.284,10,9.75
-0.04,-52.602,24.564,10,9.75
0.04,-17.836,50.401,9.75,9.5
0.01,5.535,37.63,10,9.75
-0.01,7.791,28.553,10,9.75
0,2.526,13.7,10,9.75
-0.06,1.022,4.624,10,9.75
-0.06,-12.517,2.973,9.75,9.5
-0.06,-12.517,7.099,9.75,9.5
-0.02,-7.346,26.851,9.75,9.5
-0.02,-16.58,22.559,9.75,9.5
-0.02,-13.028,26.851,9.75,9.5
-0.16,-8.766,35.435,9.75,9.5
-0.02,-6.635,9.683,9.5,9.25
0.01,-21.552,7.536,9.5,9.25
0,-11.36,21.574,9.5,9.25
0,-8.961,21.574,9.5,9.25
0.01,-7.362,15.293,9.5,9.25
0,-9.761,18.434,9.5,9.25
-0.01,-9.761,18.434,9.5,9.25
0.01,-8.162,10.583,9.5,9.25
-0.02,-2.564,10.583,9.5,9.25
-0.01,7.829,12.938,9.5,9.25
0,63.728,10.436,9.5,9.25
0.01,56.648,1.39,9.5,9.25
0,79.461,-82.428,9.5,9.25
-0.01,51.928,-81.825,9.5,9.25
0,36.982,-64.338,9.5,9.25
-0.04,36.195,-45.042,9.5,9.25
-0.01,55.075,-5.846,9.5,9.25
-0.02,59.238,-12.959,9.5,9.25
0.01,57.639,-29.248,9.5,9.25
-0.08,31.256,-27.832,9.5,9.25
-0.01,73.629,21.037,9.25,9
-0.05,87.22,14.663,9.25,9
-0.02,36.053,46.533,9.25,9
-0.02,47.19,55.086,9.25,9
-0.01,47.19,57.609,9.25,9
-0.02,47.19,52.562,9.25,9
0,48.165,24.808,9.25,9
0.01,48.165,19.762,9.25,9
0,19.914,7.988,9.25,9
0.02,16.018,9.67,9.25,9
0.03,22.837,14.716,9.25,9
0.03,24.732,29.236,9.25,9
0.02,36.654,31.863,9.25,9
0.03,44.317,22.229,9.25,9
0.01,84.338,18.726,9.25,9
0,66.456,10.843,9.25,9
0,43.466,3.837,9.25,9
-0.01,17.069,-0.542,9.25,9
0,33.248,34.491,9.25,9
0,56.627,48.435,9.25,9
0.01,88.65,64.904,9.25,9
0.01,74.324,53.675,9.25,9
-0.01,108.875,76.882,9.25,9
0,109.718,76.882,9.25,9
0.01,57.47,67.15,9.25,9
0.02,25.421,-8.941,9.25,9
0.01,38.744,-13.608,9.5,9.25
0.1,23.201,-14.274,9.5,9.25
0.03,13.858,-2.148,9.5,9.25
0.02,7.679,-1.41,9.5,9.25
0.03,16.948,-8.787,9.5,9.25
0.04,6.134,-9.525,9.5,9.25
0.1,-0.047,-2.148,9.5,9.25
0.02,2.751,-11.373,9.75,9.5
0,2.751,-12.168,9.75,9.5
0.01,2.751,-11.373,9.75,9.5
-0.07,3.9,6.133,9.75,9.5
-0.02,-67.329,-15.351,9.75,9.5
0,-35.467,1.082,9.75,9.5
-0.03,-56.689,-7.511,9.75,9.5
-0.01,-78.833,-28.277,9.75,9.5
0,-68.683,-43.315,9.5,9.25
0.01,-86.214,-18.252,9.5,9.25
0.01,-76.988,-22.549,9.75,9.5
0.04,-97.286,-39.735,9.75,9.5
0.01,-100.131,-30.121,9.75,9.5
0.12,-105.492,-53.695,9.75,9.5
0.03,-198.784,-136.612,9.75,9.5
0.03,-176.266,-125.231,9.75,9.5
0.02,-219.158,-104.096,9.75,9.5
0.1,-239.532,-139.864,10,9.75
0.02,-396.091,58.486,10,9.75
0.02,-463.981,86.058,10,9.75
0.02,-485.111,421.84,10,9.75
-0.03,-337.204,368.638,10,9.75
0,-50.897,93.908,10,9.75
0.01,-64.632,89.547,10,9.75
0.02,-49.841,73.848,10,9.75
0.01,-27.655,18.03,10,9.75
0.03,-21.827,13.53,10,9.75
0.02,-28.305,16.284,10,9.75
-0.05,-30.464,15.366,10,9.75
-0.01,-35.862,47.502,10,9.75
-0.01,-34.782,30.975,10,9.75
0.02,-58.533,42.912,10,9.75
0.03,-80.124,17.203,10,9.75
0.02,-68.528,31.109,10,9.75
0.02,-65.516,45.852,10,9.75
0.09,-60.495,46.835,10.25,10
0.02,-53.467,-3.291,10.25,10
0.01,-61.5,-2.308,10.25,10
-0.01,-60.495,4.572,10.25,10
-0.06,-89.615,21.28,10.25,10
0,-18.323,6.538,10.25,10
0,-4.801,-7.298,10.25,10
-0.05,-2.971,2.155,10.25,10
0.01,-5.716,0.382,10.25,10
0,-2.056,2.745,10.25,10
-0.04,7.094,6.881,10.25,10
0,74.463,-92.063,10,9.75
-0.02,77.933,-138.418,10,9.75
-0.04,64.92,-177.454,10,9.75
0.01,-220.765,-234.941,10,9.75
-0.01,-309.679,-215.597,10,9.75
0.04,-296.238,-132.034,10,9.75
-0.04,-276.595,-94.121,10,9.75
0,-218.697,-104.179,10,9.75
-0.04,-169.071,-91.026,10,9.75
0,-59.479,-31.448,10,9.75
0.02,-0.074,10.502,10,9.75
0.03,2.453,12.179,10,9.75
0.02,3.717,13.018,10,9.75
0.02,-0.074,15.533,10,9.75
0.05,-15.24,23.078,10,9.75
0.03,-15.66,16.224,10.25,10
0,-9.504,12.666,10.25,10
0.03,-13.198,19.781,10.25,10
0.04,-35.362,46.46,10.25,10
0,-15.66,46.46,10.25,10
0.01,-18.123,94.483,10.25,10
0.01,-24.28,198.532,10.25,10
0.01,-13.198,237.661,10.25,10
0.01,23.812,51.646,10.25,10
0.04,-8.208,16.232,10.25,10
0,-1.64,43.313,10.25,10
